id_municipio,id_uf,meta_alvo,taxa_base,media_portugues_base,gap_base_meta,uf,regiao,prob_risco_abaixo_meta_2025,pred_risco_abaixo_meta_2025,faixa_risco
2112456,21,64.13,49.69,736.76,-14.439999999999998,MA,Nordeste,0.7763818412215931,1,Muito alto
2903607,29,37.78,29.82,722.82,-7.960000000000001,BA,Nordeste,0.7760283288376476,1,Muito alto
3305133,33,76.59,80.39,764.29,3.799999999999997,RJ,Sudeste,0.7758070641665915,1,Muito alto
2200806,22,80.0,73.81,772.9,-6.189999999999998,PI,Nordeste,0.7756808040508812,1,Muito alto
3304201,33,72.21,72.48,754.48,0.27000000000001023,RJ,Sudeste,0.7750990535837922,1,Muito alto
2923357,29,38.2,34.04,721.34,-4.160000000000004,BA,Nordeste,0.7750790300271716,1,Muito alto
4323705,43,76.0,100.0,785.9,24.0,RS,Sul,0.7748431434482115,1,Muito alto
2109551,21,62.66,50.14,731.37,-12.519999999999996,MA,Nordeste,0.7747877764201159,1,Muito alto
4101853,41,76.92,69.82,745.4,-7.1000000000000085,PR,Sul,0.774573412387086,1,Muito alto
2209377,22,67.18,51.64,743.3,-15.540000000000006,PI,Nordeste,0.7745262216792781,1,Muito alto
4108957,41,79.67,71.55,754.09,-8.120000000000005,PR,Sul,0.7743523339815869,1,Muito alto
2807105,28,47.41,30.35,718.57,-17.059999999999995,SE,Nordeste,0.7737407860632974,1,Muito alto
2100873,21,80.0,91.6,763.3,11.599999999999994,MA,Nordeste,0.7734689270046314,1,Muito alto
3303906,33,68.17,64.81,745.88,-3.3599999999999994,RJ,Sudeste,0.7734203680815529,1,Muito alto
1502855,15,50.81,42.47,720.69,-8.340000000000003,PA,Norte,0.7734059326747352,1,Muito alto
2205854,22,67.86,55.88,742.78,-11.979999999999997,PI,Nordeste,0.7733628935797643,1,Muito alto
3514502,35,80.0,77.0,768.81,-3.0,SP,Sudeste,0.7731885058220552,1,Muito alto
1304302,13,64.52,73.95,754.65,9.430000000000007,AM,Norte,0.7728287774101454,1,Muito alto
4320305,43,55.76,50.0,750.42,-5.759999999999998,RS,Sul,0.7728090430612821,1,Muito alto
3103603,31,76.51,57.09,729.39,-19.42,MG,Sudeste,0.7725114163707009,1,Muito alto
3302403,33,66.41,59.46,743.67,-6.949999999999996,RJ,Sudeste,0.7724781675142623,1,Muito alto
