id_municipio,id_uf,uf,regiao,taxa_base,media_portugues_base,meta_alvo,gap_base_meta,prob_risco_abaixo_meta_2025,cluster,perfil_cluster
3134301,31,MG,Sudeste,73.75,758.79,65.98,7.769999999999996,0.17490992571044411,3,Desempenho favorável
5221080,52,GO,Centro-Oeste,62.3,745.05,64.39,-2.0900000000000034,0.17475946262237133,3,Desempenho favorável
4315057,43,RS,Sul,95.2,788.29,53.45,41.75,0.17473817759351642,1,Melhor desempenho / menor risco
3106705,31,MG,Sudeste,66.62,751.44,62.45,4.170000000000002,0.17448008169949084,3,Desempenho favorável
3166709,31,MG,Sudeste,65.83,746.88,61.01,4.82,0.17419053955505615,3,Desempenho favorável
2313104,23,CE,Nordeste,84.32,789.25,80.0,4.319999999999993,0.17404517281119725,1,Melhor desempenho / menor risco
3144003,31,MG,Sudeste,76.73,762.13,67.47,9.260000000000005,0.1740144233024748,1,Melhor desempenho / menor risco
3140001,31,MG,Sudeste,65.6,751.93,62.34,3.259999999999991,0.17385648832804168,3,Desempenho favorável
2306256,23,CE,Nordeste,85.11,788.72,80.0,5.109999999999999,0.17374165997995472,1,Melhor desempenho / menor risco
3134400,31,MG,Sudeste,69.61,753.99,63.73,5.880000000000003,0.17370027776779465,3,Desempenho favorável
3133402,31,MG,Sudeste,77.3,767.52,69.06,8.239999999999995,0.1736911597475275,1,Melhor desempenho / menor risco
5107263,51,MT,Centro-Oeste,76.83,769.68,61.2,15.629999999999995,0.17363673697617515,1,Melhor desempenho / menor risco
3131802,31,MG,Sudeste,83.44,765.11,69.66,13.780000000000001,0.17363045541894367,1,Melhor desempenho / menor risco
3110608,31,MG,Sudeste,81.94,767.19,69.92,12.019999999999996,0.1735431250183094,1,Melhor desempenho / menor risco
3104304,31,MG,Sudeste,88.09,776.23,73.63,14.460000000000008,0.17245144415647964,1,Melhor desempenho / menor risco
3156700,31,MG,Sudeste,71.68,756.14,64.61,7.070000000000007,0.17115027882474615,3,Desempenho favorável
5218789,52,GO,Centro-Oeste,96.08,775.06,79.47,16.61,0.1711467666030521,1,Melhor desempenho / menor risco
3127602,31,MG,Sudeste,91.11,782.88,75.99,15.120000000000005,0.17061687290576863,1,Melhor desempenho / menor risco
5204250,52,GO,Centro-Oeste,79.19,771.04,74.82,4.3700000000000045,0.17032615399322065,1,Melhor desempenho / menor risco
4210704,42,SC,Sul,37.3,732.17,45.04,-7.740000000000002,0.1702758533409472,3,Desempenho favorável
2209872,22,PI,Nordeste,43.37,740.18,42.15,1.2199999999999989,0.17019435695577942,3,Desempenho favorável
2307205,23,CE,Nordeste,77.45,781.01,76.08,1.3700000000000045,0.17008575856884497,1,Melhor desempenho / menor risco
3105103,31,MG,Sudeste,80.48,770.9,70.44,10.040000000000006,0.16990655730166537,1,Melhor desempenho / menor risco
2210656,22,PI,Nordeste,75.67,767.64,56.4,19.270000000000003,0.16983524541209022,3,Desempenho favorável
1718303,17,TO,Norte,38.49,732.28,33.54,4.950000000000003,0.1697888761175398,3,Desempenho favorável
5213707,52,GO,Centro-Oeste,75.02,759.92,70.85,4.170000000000002,0.16973111092340493,1,Melhor desempenho / menor risco
1717503,17,TO,Norte,43.07,743.04,37.45,5.619999999999997,0.16958276684442133,3,Desempenho favorável
5214903,52,GO,Centro-Oeste,71.43,750.04,67.36,4.070000000000007,0.1694425022110603,3,Desempenho favorável
3109303,31,MG,Sudeste,62.9,750.94,61.24,1.6599999999999966,0.16907844598309857,3,Desempenho favorável
3170529,31,MG,Sudeste,67.15,759.42,64.46,2.690000000000012,0.1690235897562884,3,Desempenho favorável
3157278,31,MG,Sudeste,67.82,746.88,61.13,6.689999999999991,0.1689910625068804,3,Desempenho favorável
3143906,31,MG,Sudeste,73.13,758.72,65.5,7.6299999999999955,0.16897040804687544,3,Desempenho favorável
5007935,50,MS,Centro-Oeste,78.58,760.66,58.04,20.54,0.16893001447701025,3,Desempenho favorável
2410603,24,RN,Nordeste,67.22,759.47,44.73,22.490000000000002,0.16888814499931878,3,Desempenho favorável
3129806,31,MG,Sudeste,63.66,749.09,60.87,2.789999999999999,0.1688015215628228,3,Desempenho favorável
3114303,31,MG,Sudeste,86.19,777.61,73.41,12.780000000000001,0.16874703860119117,1,Melhor desempenho / menor risco
3149606,31,MG,Sudeste,81.37,766.24,69.27,12.100000000000009,0.1687456085213169,1,Melhor desempenho / menor risco
2506202,25,PB,Nordeste,71.43,760.33,51.69,19.74000000000001,0.16865519603138102,3,Desempenho favorável
2609709,26,PE,Nordeste,91.54,778.47,67.32,24.220000000000013,0.16861338293235298,1,Melhor desempenho / menor risco
5200050,52,GO,Centro-Oeste,64.46,751.96,66.39,-1.9300000000000068,0.1683935112931712,3,Desempenho favorável
3144706,31,MG,Sudeste,72.22,763.92,66.71,5.510000000000005,0.16827763887605005,1,Melhor desempenho / menor risco
5209937,52,GO,Centro-Oeste,87.01,774.7,77.33,9.680000000000007,0.16822937655842402,1,Melhor desempenho / menor risco
3166808,31,MG,Sudeste,72.87,762.48,66.42,6.450000000000003,0.16781591635640866,1,Melhor desempenho / menor risco
3161007,31,MG,Sudeste,84.25,776.05,72.5,11.75,0.1673856487754064,1,Melhor desempenho / menor risco
3164704,31,MG,Sudeste,81.09,769.86,70.13,10.960000000000008,0.1672921114135253,1,Melhor desempenho / menor risco
3170206,31,MG,Sudeste,62.63,748.55,60.41,2.220000000000006,0.1670875953634167,3,Desempenho favorável
3122207,31,MG,Sudeste,87.1,770.35,71.49,15.61,0.16697421950583166,1,Melhor desempenho / menor risco
5205059,52,GO,Centro-Oeste,91.3,781.43,80.0,11.299999999999997,0.16687120634779165,1,Melhor desempenho / menor risco
3126901,31,MG,Sudeste,64.71,752.42,61.89,2.819999999999993,0.16673921343198217,3,Desempenho favorável
2301000,23,CE,Nordeste,83.99,791.02,80.0,3.989999999999995,0.1665790459882979,1,Melhor desempenho / menor risco
3141108,31,MG,Sudeste,57.88,743.64,58.03,-0.14999999999999858,0.1663826860756868,3,Desempenho favorável
4206207,42,SC,Sul,76.93,763.15,61.57,15.360000000000007,0.1662527988976512,1,Melhor desempenho / menor risco
5214051,52,GO,Centro-Oeste,94.04,779.6,80.0,14.040000000000006,0.1658154370618701,1,Melhor desempenho / menor risco
3503000,35,SP,Sudeste,72.03,764.24,55.06,16.97,0.1657671407932761,3,Desempenho favorável
2310852,23,CE,Nordeste,88.62,787.9,80.0,8.620000000000005,0.1649329719346789,1,Melhor desempenho / menor risco
3166956,31,MG,Sudeste,95.99,794.95,80.0,15.989999999999995,0.16473538431166238,1,Melhor desempenho / menor risco
2807303,28,SE,Nordeste,42.47,739.05,32.81,9.659999999999997,0.16414533657988928,3,Desempenho favorável
5219456,52,GO,Centro-Oeste,95.83,778.65,80.0,15.829999999999998,0.16395771720054628,1,Melhor desempenho / menor risco
3141702,31,MG,Sudeste,63.47,754.08,61.93,1.5399999999999991,0.16392502758897382,3,Desempenho favorável
3103900,31,MG,Sudeste,88.5,785.67,75.83,12.670000000000002,0.16377467946410168,1,Melhor desempenho / menor risco
5213509,52,GO,Centro-Oeste,81.87,773.77,75.75,6.1200000000000045,0.16371193737549314,1,Melhor desempenho / menor risco
3115474,31,MG,Sudeste,75.75,764.52,67.33,8.420000000000002,0.16348889732941208,1,Melhor desempenho / menor risco
2400604,24,RN,Nordeste,21.43,724.13,25.17,-3.740000000000002,0.1632942897460308,3,Desempenho favorável
3111200,31,MG,Sudeste,85.57,777.06,72.79,12.779999999999987,0.16285046762272803,1,Melhor desempenho / menor risco
2207207,22,PI,Nordeste,100.0,836.28,80.0,20.0,0.16276321458593596,1,Melhor desempenho / menor risco
3152131,31,MG,Sudeste,76.36,764.45,67.38,8.980000000000004,0.16251667832182343,1,Melhor desempenho / menor risco
3146552,31,MG,Sudeste,76.4,767.41,68.17,8.230000000000004,0.16189307603331146,1,Melhor desempenho / menor risco
3147808,31,MG,Sudeste,77.27,763.4,67.24,10.030000000000001,0.16187045821002122,1,Melhor desempenho / menor risco
3131505,31,MG,Sudeste,63.82,753.52,61.72,2.1000000000000014,0.16174284088128307,3,Desempenho favorável
5220157,52,GO,Centro-Oeste,85.76,774.94,76.76,9.0,0.16169774571791268,1,Melhor desempenho / menor risco
5207352,52,GO,Centro-Oeste,90.91,774.36,77.65,13.259999999999991,0.1614501188105718,1,Melhor desempenho / menor risco
3156106,31,MG,Sudeste,81.94,767.63,69.35,12.590000000000003,0.16144455726397194,1,Melhor desempenho / menor risco
2210623,22,PI,Nordeste,50.0,734.01,41.31,8.689999999999998,0.1614261119544594,3,Desempenho favorável
2307650,23,CE,Nordeste,84.92,791.45,80.0,4.920000000000002,0.16122789118021602,1,Melhor desempenho / menor risco
3152709,31,MG,Sudeste,93.22,780.73,75.29,17.929999999999993,0.16120742517028988,1,Melhor desempenho / menor risco
3204054,32,ES,Sudeste,80.91,771.14,72.65,8.259999999999991,0.16102857410872354,1,Melhor desempenho / menor risco
3168002,31,MG,Sudeste,86.34,776.4,72.65,13.689999999999998,0.16086267619199696,1,Melhor desempenho / menor risco
5000609,50,MS,Centro-Oeste,69.72,754.91,54.14,15.579999999999998,0.16066878185327063,3,Desempenho favorável
2516300,25,PB,Nordeste,64.53,751.72,47.42,17.11,0.16066466038804209,3,Desempenho favorável
2201556,22,PI,Nordeste,89.26,798.46,67.2,22.060000000000002,0.16065671361649717,1,Melhor desempenho / menor risco
2310308,23,CE,Nordeste,88.35,789.04,80.0,8.349999999999994,0.16049943059959368,1,Melhor desempenho / menor risco
3515129,35,SP,Sudeste,88.58,764.9,58.34,30.239999999999995,0.16020968139348155,1,Melhor desempenho / menor risco
5200902,52,GO,Centro-Oeste,80.65,767.77,73.63,7.02000000000001,0.160152169675805,1,Melhor desempenho / menor risco
5209101,52,GO,Centro-Oeste,77.63,763.85,71.92,5.709999999999994,0.1601210797957769,1,Melhor desempenho / menor risco
3118304,31,MG,Sudeste,82.19,769.38,69.8,12.39,0.15999749365850247,1,Melhor desempenho / menor risco
3160959,31,MG,Sudeste,93.62,797.8,80.0,13.620000000000005,0.1596568817060885,1,Melhor desempenho / menor risco
5103452,51,MT,Centro-Oeste,83.58,782.35,65.29,18.289999999999992,0.1595583637720776,1,Melhor desempenho / menor risco
5218805,52,GO,Centro-Oeste,89.88,784.04,80.0,9.879999999999995,0.15953836529937637,1,Melhor desempenho / menor risco
3101102,31,MG,Sudeste,57.63,748.58,58.93,-1.2999999999999972,0.15930133973119875,3,Desempenho favorável
4207577,42,SC,Sul,97.09,802.26,76.14,20.950000000000003,0.1592318094184469,1,Melhor desempenho / menor risco
2513208,25,PB,Nordeste,86.28,787.36,61.68,24.6,0.1591450681058391,1,Melhor desempenho / menor risco
1721307,17,TO,Norte,53.85,747.87,40.4,13.450000000000003,0.1590007007998606,3,Desempenho favorável
3128709,31,MG,Sudeste,66.93,753.27,62.12,4.810000000000009,0.1588046201928642,3,Desempenho favorável
5006408,50,MS,Centro-Oeste,55.86,742.73,47.79,8.07,0.15870056052020542,3,Desempenho favorável
1703826,17,TO,Norte,64.0,748.65,42.68,21.32,0.15842377847184835,3,Desempenho favorável
3202702,32,ES,Sudeste,87.99,777.78,75.79,12.199999999999989,0.1583406190774931,1,Melhor desempenho / menor risco
5220108,52,GO,Centro-Oeste,76.27,761.3,70.81,5.459999999999994,0.15804220971483354,1,Melhor desempenho / menor risco
2606705,26,PE,Nordeste,62.42,747.73,52.17,10.25,0.15781007982919834,3,Desempenho favorável
5201702,52,GO,Centro-Oeste,72.16,757.41,68.86,3.299999999999997,0.15762939201005777,3,Desempenho favorável
3133600,31,MG,Sudeste,67.89,749.3,61.14,6.75,0.15745147068931203,3,Desempenho favorável
3130705,31,MG,Sudeste,53.9,737.36,54.94,-1.0399999999999991,0.15734580578848684,3,Desempenho favorável
5108501,51,MT,Centro-Oeste,52.77,745.73,48.66,4.1100000000000065,0.15729075068297835,3,Desempenho favorável
5100805,51,MT,Centro-Oeste,74.17,766.66,58.87,15.300000000000004,0.1572712550697509,3,Desempenho favorável
3127503,31,MG,Sudeste,82.31,773.35,70.75,11.560000000000002,0.15711234579596428,1,Melhor desempenho / menor risco
2311900,23,CE,Nordeste,81.55,783.2,76.77,4.780000000000001,0.15698959019172115,1,Melhor desempenho / menor risco
3200136,32,ES,Sudeste,94.55,788.41,80.0,14.549999999999997,0.156921896235108,1,Melhor desempenho / menor risco
3171071,31,MG,Sudeste,77.02,767.1,67.91,9.11,0.15680804519589234,1,Melhor desempenho / menor risco
3133808,31,MG,Sudeste,88.76,776.74,73.0,15.760000000000005,0.15676551901863367,1,Melhor desempenho / menor risco
